2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,339.33,508.50,"981,228",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,313.59,469.94,"795,315",,,,,,,,,,,
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,312.56,468.39,"768,501",,,,,,,,,,,
4,DEN,Denver International,Denver,CO,340.28,509.93,"739,773",,,,,,,,,,,
5,EWR,Newark Liberty International,Newark,NJ,385.84,578.20,"652,199",,,,,,,,,,,
6,SEA,Seattle/Tacoma International,Seattle,WA,328.96,492.97,"647,461",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,368.89,552.80,"631,155",,,,,,,,,,,
8,PHX,Phoenix Sky Harbor International,Phoenix,AZ,269.04,403.18,"592,829",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,240.57,360.51,"585,781",,,,,,,,,,,
10,BOS,Logan International,Boston,MA,315.68,473.06,"569,471",,,,,,,,,,,
11,JFK,John F. Kennedy International,New York-JFK,NY,291.51,436.85,"521,817",,,,,,,,,,,
12,SFO,San Francisco International,San Francisco,CA,415.28,622.32,"501,601",,,,,,,,,,,
13,LAS,Harry Reid International,Las Vegas,NV,233.68,350.19,"497,289",,,,,,,,,,,
14,MSP,Minneapolis-St Paul International,Minneapolis,MN,349.50,523.74,"467,902",,,,,,,,,,,
15,PHL,Philadelphia International,Philadelphia,PA,292.74,438.69,"437,154",,,,,,,,,,,
16,DTW,Detroit Metro Wayne County,Detroit,MI,316.27,473.94,"430,570",,,,,,,,,,,
17,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,229.16,343.40,"425,537",,,,,,,,,,,
18,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,352.66,528.48,"425,283",,,,,,,,,,,
19,LGA,LaGuardia,New York-La Guardia,NY,294.87,441.88,"416,891",,,,,,,,,,,
20,SAN,San Diego International,San Diego,CA,300.81,450.78,"389,451",,,,,,,,,,,
21,TPA,Tampa International,Tampa,FL,249.93,374.54,"369,882",,,,,,,,,,,
22,MIA,Miami International,Miami,FL,303.06,454.15,"367,731",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,255.98,383.60,"349,143",,,,,,,,,,,
24,AUS,Austin - Bergstrom International,Austin,TX,329.64,493.99,"322,913",,,,,,,,,,,
25,SLC,Salt Lake City International,Salt Lake City,UT,291.22,436.41,"321,120",,,,,,,,,,,
26,PDX,Portland International,Portland,OR,312.74,468.65,"318,399",,,,,,,,,,,
27,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,311.10,466.21,"308,850",,,,,,,,,,,
28,CLT,Charlotte Douglas International,Charlotte,NC,383.05,574.03,"291,628",,,,,,,,,,,
29,BNA,Nashville International,Nashville,TN,280.79,420.78,"290,447",,,,,,,,,,,
30,SMF,Sacramento International,Sacramento,CA,271.79,407.30,"265,377",,,,,,,,,,,
31,MDW,Chicago Midway International,Chicago-Midway,IL,214.06,320.78,"254,220",,,,,,,,,,,
32,RDU,Raleigh-Durham International,Raleigh/Durham,NC,278.76,417.74,"241,426",,,,,,,,,,,
33,STL,St Louis Lambert International,St. Louis,MO,310.21,464.86,"227,117",,,,,,,,,,,
34,SJU,Luis Munoz Marin International,San Juan,PR,295.11,442.24,"221,048",,,,,,,,,,,
35,DAL,Dallas Love Field,Dallas-Love Field,TX,174.99,262.24,"213,582",,,,,,,,,,,
36,MCI,Kansas City International,Kansas City,MO,285.11,427.26,"207,664",,,,,,,,,,,
37,IND,Indianapolis International,Indianapolis,IN,276.79,414.79,"206,535",,,,,,,,,,,
38,HNL,Daniel K Inouye International,Honolulu,HI,271.80,407.30,"201,225",,,,,,,,,,,
39,CLE,Cleveland-Hopkins International,Cleveland,OH,304.65,456.53,"199,421",,,,,,,,,,,
40,SJC,Norman Y. Mineta San Jose International,San Jose,CA,263.16,394.36,"194,429",,,,,,,,,,,
41,OAK,Metro Oakland International,Oakland,CA,244.21,365.97,"194,387",,,,,,,,,,,
42,MSY,Louis Armstrong New Orleans International,New Orleans,LA,276.71,414.66,"188,154",,,,,,,,,,,
43,IAD,Washington Dulles International,Washington-Dulles,DC,308.14,461.76,"187,452",,,,,,,,,,,
44,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,379.52,568.73,"183,219",,,,,,,,,,,
45,SNA,John Wayne Airport-Orange County,Santa Ana,CA,311.30,466.50,"182,534",,,,,,,,,,,
46,PIT,Pittsburgh International,Pittsburgh,PA,320.31,480.00,"181,455",,,,,,,,,,,
47,SAT,San Antonio International,San Antonio,TX,312.43,468.20,"180,661",,,,,,,,,,,
48,HOU,William P Hobby,Houston-Hobby,TX,225.04,337.24,"173,112",,,,,,,,,,,
49,CMH,John Glenn Columbus International,Columbus,OH,301.43,451.70,"167,522",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,253.47,379.84,"164,832",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,298.00,446.57,"142,941",,,,,,,,,,,
52,MKE,General Mitchell International,Milwaukee,WI,311.86,467.34,"131,320",,,,,,,,,,,
53,JAX,Jacksonville International,Jacksonville,FL,280.78,420.76,"129,900",,,,,,,,,,,
54,ONT,Ontario International,Ontario,CA,263.41,394.74,"128,292",,,,,,,,,,,
55,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,247.42,370.78,"120,424",,,,,,,,,,,
56,OMA,Eppley Airfield,Omaha,NE,301.19,451.34,"106,587",,,,,,,,,,,
57,MEM,Memphis International,Memphis,TN,381.23,571.29,"106,166",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,378.03,566.50,"99,005",,,,,,,,,,,
59,BOI,Boise Air Terminal,Boise,ID,276.62,414.53,"97,566",,,,,,,,,,,
60,BUR,Bob Hope,Burbank,CA,228.92,343.05,"97,139",,,,,,,,,,,
61,ORF,Norfolk International,Norfolk,VA,314.84,471.80,"96,550",,,,,,,,,,,
62,CHS,Charleston AFB/International,Charleston,SC,373.21,559.28,"92,905",,,,,,,,,,,
63,GRR,Gerald R. Ford International,Grand Rapids,MI,372.19,557.74,"91,893",,,,,,,,,,,
64,OKC,Will Rogers World,Oklahoma City,OK,314.22,470.88,"91,480",,,,,,,,,,,
65,SDF,Louisville Muhammad Ali International,Louisville,KY,289.80,434.28,"88,375",,,,,,,,,,,
66,ANC,Ted Stevens Anchorage International,Anchorage,AK,436.28,653.79,"86,440",,,,,,,,,,,
67,GEG,Spokane International,Spokane,WA,275.61,413.02,"86,252",,,,,,,,,,,
68,ABQ,Albuquerque International Sunport,Albuquerque,NM,290.92,435.97,"85,944",,,,,,,,,,,
69,BUF,Buffalo Niagara International,Buffalo,NY,251.97,377.60,"83,896",,,,,,,,,,,
70,ELP,El Paso International,El Paso,TX,273.98,410.57,"83,186",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,244.17,365.90,"81,805",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,204.11,305.87,"74,704",,,,,,,,,,,
73,TUS,Tucson International,Tucson,AZ,297.02,445.10,"70,359",,,,,,,,,,,
74,PVD,Rhode Island Tf Green International,Providence,RI,265.06,397.20,"68,118",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,382.21,572.76,"67,129",,,,,,,,,,,
76,TUL,Tulsa International,Tulsa,OK,305.92,458.44,"64,735",,,,,,,,,,,
77,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,308.45,462.24,"62,393",,,,,,,,,,,
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,297.00,445.07,"62,011",,,,,,,,,,,
79,SAV,Savannah/Hilton Head International,Savannah,GA,319.36,478.57,"57,556",,,,,,,,,,,
80,ALB,Albany International,Albany,NY,304.74,456.67,"57,118",,,,,,,,,,,
81,LGB,Long Beach Airport,Long Beach,CA,249.57,373.99,"57,022",,,,,,,,,,,
82,PNS,Pensacola International,Pensacola,FL,344.47,516.21,"54,946",,,,,,,,,,,
83,SYR,Syracuse Hancock International,Syracuse,NY,320.61,480.45,"52,889",,,,,,,,,,,
84,FAT,Fresno Yosemite International,Fresno,CA,396.20,593.73,"52,418",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,373.04,559.03,"49,200",,,,,,,,,,,
86,GSP,Greenville-Spartanburg International,Greer,SC,379.73,569.04,"49,148",,,,,,,,,,,
87,COS,City of Colorado Springs Municipal,Colorado Springs,CO,392.21,587.75,"48,798",,,,,,,,,,,
88,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,305.23,457.40,"48,278",,,,,,,,,,,
89,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,281.79,422.27,"47,981",,,,,,,,,,,
90,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,204.65,306.68,"44,410",,,,,,,,,,,
91,MYR,Myrtle Beach International,Myrtle Beach,SC,290.32,435.06,"44,035",,,,,,,,,,,
92,PWM,Portland International Jetport,Portland,ME,358.47,537.19,"43,040",,,,,,,,,,,
93,MSN,Dane County Regional-Truax Field,Madison,WI,380.01,569.47,"42,256",,,,,,,,,,,
94,BZN,Bozeman Yellowstone International,Bozeman,MT,434.13,650.56,"39,718",,,,,,,,,,,
95,SFB,Orlando Sanford International,Sanford,FL,125.87,188.62,"39,522",,,,,,,,,,,
96,PSP,Palm Springs International,Palm Springs,CA,389.40,583.53,"39,514",,,,,,,,,,,
97,PIE,St Pete Clearwater International,St. Petersburg,FL,160.78,240.94,"37,944",,,,,,,,,,,
98,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,357.12,535.17,"37,538",,,,,,,,,,,
99,GSO,Piedmont Triad International,Greensboro/High Point,NC,340.04,509.57,"35,317",,,,,,,,,,,
100,HPN,Westchester County,White Plains,NY,384.49,576.18,"35,091",,,,,,,,,,,
101,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,391.28,586.36,"33,692",,,,,,,,,,,
102,AVL,Asheville Regional,Asheville,NC,405.87,608.22,"33,509",,,,,,,,,,,
103,XNA,Northwest Arkansas National,Fayetteville,AR,401.67,601.92,"33,498",,,,,,,,,,,
104,EUG,Mahlon Sweet Field,Eugene,OR,406.01,608.42,"33,026",,,,,,,,,,,
105,LIH,Lihue Airport,Lihue,HI,170.09,254.90,"32,532",,,,,,,,,,,
106,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,433.31,649.33,"31,183",,,,,,,,,,,
107,MDT,Harrisburg International,Harrisburg,PA,418.83,627.64,"30,949",,,,,,,,,,,
108,DAY,James M Cox/Dayton International,Dayton,OH,305.36,457.60,"30,855",,,,,,,,,,,
109,FSD,Joe Foss Field,Sioux Falls,SD,407.15,610.13,"29,802",,,,,,,,,,,
110,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,367.27,550.38,"29,251",,,,,,,,,,,
111,ISP,Long Island MacArthur,Islip,NY,226.12,338.85,"28,265",,,,,,,,,,,
112,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,324.77,486.69,"27,916",,,,,,,,,,,
113,LEX,Blue Grass,Lexington,KY,383.05,574.03,"27,888",,,,,,,,,,,
114,MAF,Midland International Air and Space Port,Midland/Odessa,TX,249.12,373.32,"27,625",,,,,,,,,,,
115,SGF,Springfield-Branson National,Springfield,MO,401.57,601.77,"26,473",,,,,,,,,,,
116,MHT,Manchester Boston Regional,Manchester,NH,268.77,402.77,"26,222",,,,,,,,,,,
117,MFR,Rogue Valley International - Medford,Medford,OR,407.07,610.02,"26,110",,,,,,,,,,,
118,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,421.27,631.30,"25,469",,,,,,,,,,,
119,ILM,Wilmington International,Wilmington,NC,368.68,552.49,"24,558",,,,,,,,,,,
120,FAR,Hector International,Fargo,ND,459.11,688.01,"24,510",,,,,,,,,,,
121,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,416.13,623.60,"24,153",,,,,,,,,,,
122,CAE,Columbia Metropolitan,Columbia,SC,366.08,548.59,"24,128",,,,,,,,,,,
123,SBA,Santa Barbara Municipal,Santa Barbara,CA,426.99,639.87,"23,984",,,,,,,,,,,
124,RDM,Roberts Field,Bend/Redmond,OR,397.39,595.51,"23,093",,,,,,,,,,,
125,ATW,Appleton International,Appleton,WI,389.25,583.31,"22,839",,,,,,,,,,,
126,FWA,Fort Wayne International,Fort Wayne,IN,416.89,624.73,"22,770",,,,,,,,,,,
127,CHA,Lovell Field,Chattanooga,TN,422.51,633.15,"22,081",,,,,,,,,,,
128,LBB,Lubbock Preston Smith International,Lubbock,TX,253.30,379.59,"21,979",,,,,,,,,,,
129,SBN,South Bend International,South Bend,IN,379.73,569.05,"21,936",,,,,,,,,,,
130,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,409.20,613.20,"21,441",,,,,,,,,,,
131,BTV,Burlington International,Burlington,VT,314.49,471.28,"21,231",,,,,,,,,,,
132,FAI,Fairbanks International,Fairbanks,AK,450.04,674.41,"20,659",,,,,,,,,,,
133,BIL,Billings Logan International,Billings,MT,387.72,581.01,"19,384",,,,,,,,,,,
134,MSO,Missoula Montana,Missoula,MT,432.21,647.69,"19,023",,,,,,,,,,,
135,ACY,Atlantic City International,Atlantic City,NJ,223.07,334.28,"18,671",,,,,,,,,,,
136,STT,Cyril E King,Charlotte Amalie,VI,407.13,610.11,"18,308",,,,,,,,,,,
137,ITO,Hilo International,Hilo,HI,150.11,224.94,"17,964",,,,,,,,,,,
138,TLH,Tallahassee International,Tallahassee,FL,370.35,554.99,"17,768",,,,,,,,,,,
139,EYW,Key West International,Key West,FL,362.03,542.52,"17,045",,,,,,,,,,,
140,FCA,Glacier Park International,Kalispell,MT,438.43,657.00,"16,984",,,,,,,,,,,
141,HRL,Valley International,Harlingen/San Benito,TX,231.11,346.32,"16,866",,,,,,,,,,,
142,FNT,Bishop International,Flint,MI,288.66,432.57,"16,829",,,,,,,,,,,
143,PIA,General Downing - Peoria International,Peoria,IL,351.30,526.44,"16,755",,,,,,,,,,,
144,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,390.28,584.86,"16,605",,,,,,,,,,,
145,MLI,Quad Cities International,Moline,IL,323.99,485.52,"16,008",,,,,,,,,,,
146,AMA,Rick Husband Amarillo International,Amarillo,TX,262.28,393.04,"15,963",,,,,,,,,,,
147,CRP,Corpus Christi International,Corpus Christi,TX,322.74,483.64,"15,672",,,,,,,,,,,
148,AGS,Augusta Regional at Bush Field,Augusta,GA,472.85,708.59,"15,230",,,,,,,,,,,
149,GRB,Green Bay Austin Straubel International,Green Bay,WI,383.87,575.26,"15,022",,,,,,,,,,,
150,TVC,Cherry Capital,Traverse City,MI,412.82,618.63,"15,003",,,,,,,,,,,
151,RAP,Rapid City Regional,Rapid City,SD,423.93,635.28,"15,000",,,,,,,,,,,
152,BGR,Bangor International,Bangor,ME,393.74,590.04,"14,645",,,,,,,,,,,
153,SHV,Shreveport Regional,Shreveport,LA,421.95,632.31,"14,381",,,,,,,,,,,
154,JAC,Jackson Hole,Jackson,WY,490.04,734.36,"14,367",,,,,,,,,,,
155,ROA,Roanoke Blacksburg Regional,Roanoke,VA,428.58,642.25,"13,424",,,,,,,,,,,
156,BQN,Rafael Hernandez,Aguadilla,PR,205.57,308.06,"13,404",,,,,,,,,,,
157,DAB,Daytona Beach International,Daytona Beach,FL,346.21,518.82,"13,300",,,,,,,,,,,
158,GJT,Grand Junction Regional,Grand Junction,CO,440.61,660.28,"13,180",,,,,,,,,,,
159,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,441.51,661.62,"13,002",,,,,,,,,,,
160,BIS,Bismarck Municipal,Bismarck/Mandan,ND,417.08,625.01,"12,907",,,,,,,,,,,
161,CHO,Charlottesville Albemarle,Charlottesville,VA,442.58,663.22,"12,825",,,,,,,,,,,
162,CAK,Akron-Canton Regional,Akron,OH,264.56,396.46,"12,492",,,,,,,,,,,
163,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,202.47,303.41,"12,300",,,,,,,,,,,
164,MOB,Mobile Regional,Mobile,AL,432.33,647.86,"12,256",,,,,,,,,,,
165,GNV,Gainesville Regional,Gainesville,FL,405.57,607.76,"12,222",,,,,,,,,,,
166,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,427.94,641.29,"11,902",,,,,,,,,,,
167,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,352.32,527.97,"11,792",,,,,,,,,,,
168,IDA,Idaho Falls Regional,Idaho Falls,ID,442.16,662.60,"11,705",,,,,,,,,,,
169,SBP,San Luis County Regional,San Luis Obispo,CA,416.08,623.51,"11,284",,,,,,,,,,,
170,LCK,Rickenbacker International,Columbus,OH,97.90,146.71,"10,329",,,,,,,,,,,
171,EVV,Evansville Regional,Evansville,IN,378.80,567.66,"10,307",,,,,,,,,,,
172,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,366.92,549.84,"10,155",,,,,,,,,,,
173,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,402.98,603.89,"10,009",,,,,,,,,,,
174,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,296.04,443.63,"9,970",,,,,,,,,,,
175,JNU,Juneau International,Juneau,AK,403.79,605.10,"9,873",,,,,,,,,,,
176,MRY,Monterey Regional,Monterey,CA,460.51,690.10,"9,503",,,,,,,,,,,
177,BLI,Bellingham International,Bellingham,WA,328.63,492.47,"9,292",,,,,,,,,,,
178,TTN,Trenton Mercer,Trenton,NJ,134.72,201.89,"9,198",,,,,,,,,,,
179,MLB,Melbourne Orlando International,Melbourne,FL,363.83,545.22,"9,185",,,,,,,,,,,
180,DRO,Durango La Plata County,Durango,CO,459.23,688.18,"9,163",,,,,,,,,,,
181,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,403.89,605.25,"8,897",,,,,,,,,,,
182,BFL,Meadows Field,Bakersfield,CA,406.65,609.39,"8,531",,,,,,,,,,,
183,GRK,Robert Gray AAF,Killeen,TX,404.63,606.36,"8,517",,,,,,,,,,,
184,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,356.32,533.96,"8,170",,,,,,,,,,,
185,MOT,Minot International,Minot,ND,488.31,731.76,"7,755",,,,,,,,,,,
186,SGU,St George Regional,St. George,UT,375.22,562.29,"7,705",,,,,,,,,,,
187,GTF,Great Falls International,Great Falls,MT,418.89,627.72,"7,637",,,,,,,,,,,
188,RFD,Chicago/Rockford International,Rockford,IL,241.77,362.31,"7,383",,,,,,,,,,,
189,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,539.04,807.78,"7,337",,,,,,,,,,,
190,STX,Henry E. Rohlsen,Christiansted,VI,426.87,639.69,"7,334",,,,,,,,,,,
191,MTJ,Montrose Regional,Montrose/Delta,CO,464.46,696.02,"7,013",,,,,,,,,,,
192,SCE,University Park,State College,PA,433.58,649.74,"6,866",,,,,,,,,,,
193,DLH,Duluth International,Duluth,MN,440.83,660.61,"6,652",,,,,,,,,,,
194,MGM,Montgomery Regional,Montgomery,AL,429.05,642.96,"6,584",,,,,,,,,,,
195,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,395.64,592.89,"6,574",,,,,,,,,,,
196,HHH,Hilton Head Airport,Hilton Head,SC,388.66,582.43,"6,408",,,,,,,,,,,
197,LBE,Arnold Palmer Regional,Latrobe,PA,401.85,602.20,"6,136",,,,,,,,,,,
198,BRO,Brownsville South Padre Island International,Brownsville,TX,411.56,616.74,"6,127",,,,,,,,,,,
199,LAN,Capital Region International,Lansing,MI,344.89,516.84,"5,888",,,,,,,,,,,
200,LRD,Laredo International,Laredo,TX,397.86,596.21,"5,865",,,,,,,,,,,
201,AEX,Alexandria International,Alexandria,LA,428.52,642.16,"5,806",,,,,,,,,,,
202,CWA,Central Wisconsin,Mosinee,WI,400.56,600.26,"5,754",,,,,,,,,,,
203,TOL,Eugene F Kranz Toledo Express,Toledo,OH,344.02,515.54,"5,563",,,,,,,,,,,
204,LSE,La Crosse Regional,La Crosse,WI,421.53,631.69,"5,497",,,,,,,,,,,
205,EGE,Eagle County Regional,Eagle,CO,480.24,719.66,"5,285",,,,,,,,,,,
206,YUM,Yuma MCAS/Yuma International,Yuma,AZ,462.33,692.83,"5,255",,,,,,,,,,,
207,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,410.95,615.83,"5,176",,,,,,,,,,,
208,RST,Rochester International,Rochester,MN,423.71,634.94,"5,139",,,,,,,,,,,
209,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,253.71,380.20,"5,060",,,,,,,,,,,
210,LNK,Lincoln Airport,Lincoln,NE,393.33,589.42,"5,033",,,,,,,,,,,
211,ELM,Elmira/Corning Regional,Elmira/Corning,NY,417.62,625.82,"5,016",,,,,,,,,,,
212,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,374.81,561.67,"4,875",,,,,,,,,,,
213,MLU,Monroe Regional,Monroe,LA,406.79,609.60,"4,860",,,,,,,,,,,
214,FLG,Flagstaff Pulliam,Flagstaff,AZ,403.22,604.25,"4,845",,,,,,,,,,,
215,COU,Columbia Regional,Columbia,MO,415.12,622.08,"4,701",,,,,,,,,,,
216,HDN,Yampa Valley,Hayden,CO,420.30,629.83,"4,571",,,,,,,,,,,
217,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,380.17,569.70,"4,529",,,,,,,,,,,
218,ERI,Erie International/Tom Ridge Field,Erie,PA,318.01,476.55,"4,465",,,,,,,,,,,
219,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,312.86,468.84,"4,411",,,,,,,,,,,
220,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,468.13,701.51,"4,256",,,,,,,,,,,
221,ABI,Abilene Regional,Abilene,TX,399.27,598.33,"4,199",,,,,,,,,,,
222,ACK,Nantucket Memorial,Nantucket,MA,485.40,727.40,"4,191",,,,,,,,,,,
223,MBS,MBS International,Saginaw/Bay City/Midland,MI,406.58,609.28,"4,177",,,,,,,,,,,
224,GFK,Grand Forks International,Grand Forks,ND,477.06,714.90,"4,123",,,,,,,,,,,
225,SAF,Santa Fe Municipal,Santa Fe,NM,671.24,1005.90,"4,034",,,,,,,,,,,
226,SPI,Abraham Lincoln Capital,Springfield,IL,395.59,592.82,"4,033",,,,,,,,,,,
227,KTN,Ketchikan International,Ketchikan,AK,429.45,643.55,"4,031",,,,,,,,,,,
228,GUM,Guam International,Guam,TT,1267.62,1899.60,"3,980",,,,,,,,,,,
229,BET,Bethel Airport,Bethel,AK,380.35,569.97,"3,893",,,,,,,,,,,
230,CPR,Casper/Natrona County International,Casper,WY,428.78,642.56,"3,792",,,,,,,,,,,
231,HLN,Helena Regional,Helena,MT,461.28,691.25,"3,759",,,,,,,,,,,
